paragraph_id,subject,subject_cui,subject_type,relation,object,object_cui,object_type,rule_valid,gemini_verdict
1905,abo blood group system,C0078140,Therapeutic or Preventive Procedure,CONTAINS,o antigen,C0227100,"Body Part, Organ, or Organ Component",False,True
1905,erythrocytes,C0014792,Cell,CONTAINS,antigens,C0003320,Immunologic Factor,False,True
1911,hemoglobin,C0008721,Organic Chemical,CONSISTS_OF,polypeptide chains of globin,C1302674,"Amino Acid, Peptide, or Protein",False,True
1913,hemoglobin hbf,C0015936,"Amino Acid, Peptide, or Protein",IS_A,hemoglobin,C0008721,Organic Chemical,False,True
1918,hemoglobin molecule,C0008721,Organic Chemical,CONSISTS_OF,subunit,C0599220,"Amino Acid, Peptide, or Protein",False,True
1918,subunit,C0599220,"Amino Acid, Peptide, or Protein",CONTAINS,heme,C0018966,Organic Chemical,False,True
1920,neutrophils,C0027950,Cell,IS_A,wbcs,C0023516,Cell,False,True
1920,neutrophils,C0027950,Cell,IS_A,granulocytes,C0018183,Cell,False,True
1922,chromatin,C0008546,"Amino Acid, Peptide, or Protein",PART_OF,neutrophil,C0027950,Cell,False,True
1922,nucleus,C0007610,Cell Component,LOCATION_OF,heterochromatin,C0019397,Cell Component,False,True
1922,nucleus,C0007610,Cell Component,LOCATION_OF,euchromatin,C0059882,Cell Component,False,True
1923,neutrophils,C0027950,Cell,CONTAINS,granules,C3853573,Biomedical or Dental Material,False,True
1925,specific granules,C3853573,Biomedical or Dental Material,IS_A,granules,C3853573,Biomedical or Dental Material,False,True
1926,azurophilic granules,C0333829,Cell Component,IS_A,lysosomes,C0024369,Cell Component,False,True
1926,azurophilic granules,C0333829,Cell Component,CONTAINS,myeloperoxidase,C0027021,"Amino Acid, Peptide, or Protein",False,True
1927,tertiary granules,C2753894,Cell Component,CONTAINS,phosphatases,C0031678,"Amino Acid, Peptide, or Protein",False,True
1927,tertiary granules,C2753894,Cell Component,CONTAINS,metalloproteinases,C0025543,"Amino Acid, Peptide, or Protein",False,True
1929,adhesion molecules,C0007578,"Amino Acid, Peptide, or Protein",INTERACTS_WITH,ligands,C0023688,Chemical,False,True
1941,neutrophils,C0027950,Cell,INTERACTS_WITH,bacteria,C0004611,Bacterium,False,True
1941,neutrophils,C0027950,Cell,INTERACTS_WITH,infectious agents,C0314732,Organism,False,True
1942,receptors,C0597357,"Amino Acid, Peptide, or Protein",INTERACTS_WITH,bacteria,C0004611,Bacterium,False,True
1944,scavenger receptors,C0074129,"Amino Acid, Peptide, or Protein",INTERACTS_WITH,low-density lipoproteins,C0023823,Organic Chemical,False,True
1947,antigens,C0003320,Immunologic Factor,CAUSES,phagocytosis,C0031308,Cell Function,False,True
1949,neutrophil,C0027950,Cell,INTERACTS_WITH,antigen,C0003320,Immunologic Factor,False,True
1951,mpo,C0919350,"Amino Acid, Peptide, or Protein",PRODUCES,hypochlorous acid,C0020600,Inorganic Chemical,False,True
1951,mpo,C0919350,"Amino Acid, Peptide, or Protein",USES,heme,C0018966,Organic Chemical,False,True
1951,hypochlorous acid,C0020600,Inorganic Chemical,PRODUCES,hypochlorite,C0303749,Inorganic Chemical,False,True
1952,nitric oxide,C0028128,Pharmacologic Substance,CAUSES,vasodilatation,C0042401,Organ or Tissue Function,False,True
1954,neutrophils,C0027950,Cell,CONTAINS,cationic antimicrobial proteins,C0054878,"Amino Acid, Peptide, or Protein",False,True
1954,neutrophils,C0027950,Cell,CONTAINS,defensins,C0057256,"Amino Acid, Peptide, or Protein",False,True
1955,azurophilic granules,C0333829,Cell Component,LOCATION_OF,mpo enzyme,C0014442,"Amino Acid, Peptide, or Protein",False,True
1959,phagocyte oxidase,C0031307,Cell,USES,nadph oxidase complex,C1325739,Cell Component,False,True
1962,granules,C3853573,Biomedical or Dental Material,PART_OF,cytoplasm,C0010834,Cell Component,False,True
1963,cytoplasm,C0010834,Cell Component,CONTAINS,granules,C3853573,Biomedical or Dental Material,False,True
1963,eosinophil,C0014467,Cell,CONTAINS,membranous organelles,C0029219,Cell Component,False,True
1965,genetic immunodeficiency,C0021051,Disease or Syndrome,AFFECTS,killing mechanisms,C0162388,Social Behavior,False,True
1965,mutation,C0026882,Genetic Function,CAUSES,chronic granulomatous disease,C0018203,Disease or Syndrome,False,True
1965,chronic granulomatous disease,C0018203,Disease or Syndrome,AFFECTS,neutrophils,C0027950,Cell,False,True
1966,granules,C3853573,Biomedical or Dental Material,CONTAINS,crystalloid body,C0056562,Pharmacologic Substance,False,True
1966,crystalloid bodies,C0056562,Pharmacologic Substance,CAUSES,refractivity,C1261472,Clinical Attribute,False,True
1966,crystalloid body,C0056562,Pharmacologic Substance,LOCATION_OF,major basic protein,C0014063,"Amino Acid, Peptide, or Protein",False,True
1966,granule matrix,C0230861,Cell Component,CONTAINS,proteins,C0033684,"Amino Acid, Peptide, or Protein",False,True
1966,edn,C1419408,Gene or Genome,CAUSES,nervous system dysfunction,C0027767,Organ or Tissue Function,False,True
1966,histaminase,C0019587,"Amino Acid, Peptide, or Protein",PREVENTS,histamine,C0019588,Organic Chemical,False,True
1966,arylsulfatase,C0003940,"Amino Acid, Peptide, or Protein",PREVENTS,leukotrienes,C0023545,Organic Chemical,False,True
1967,destruction,C1261381,Therapeutic or Preventive Procedure,CAUSES,jaundice,C0022346,Sign or Symptom,False,True
1969,azurophilic granules,C0333829,Cell Component,CONTAINS,hydrolases,C0020289,"Amino Acid, Peptide, or Protein",False,True
1971,bone marrow,C0005953,Tissue,LOCATION_OF,eosinophils,C0014467,Cell,False,True
1971,peripheral blood,C0229664,Body Substance,LOCATION_OF,eosinophils,C0014467,Cell,False,True
1971,connective tissue,C0009780,Tissue,LOCATION_OF,eosinophils,C0014467,Cell,False,True
1971,igg,C0020852,"Amino Acid, Peptide, or Protein",INTERACTS_WITH,eosinophils,C0014467,Cell,False,True
1971,iga,C0020835,"Amino Acid, Peptide, or Protein",INTERACTS_WITH,eosinophils,C0014467,Cell,False,True
1971,secretory iga antibodies,C2754992,Cell Component,INTERACTS_WITH,eosinophils,C0014467,Cell,False,True
1972,allergic reaction,C0020517,Pathologic Function,LOCATION_OF,eosinophils,C0014467,Cell,False,True
1977,ige antibodies,C0003241,"Amino Acid, Peptide, or Protein",INTERACTS_WITH,basophil,C0004827,Cell,False,True
1977,cd40l,C0167627,"Amino Acid, Peptide, or Protein",CAUSES,ige antibodies,C0003241,"Amino Acid, Peptide, or Protein",False,True
1980,granules,C3853573,Biomedical or Dental Material,CONTAINS,heparin,C0019134,Organic Chemical,False,True
1980,granules,C3853573,Biomedical or Dental Material,CONTAINS,histamine,C0019588,Organic Chemical,False,True
1980,granules,C3853573,Biomedical or Dental Material,CONTAINS,heparan sulfate,C0019143,Organic Chemical,False,True
1980,granules,C3853573,Biomedical or Dental Material,CONTAINS,leukotrienes,C0023545,Organic Chemical,False,True
1980,granules,C3853573,Biomedical or Dental Material,CONTAINS,il-4,C0021758,"Amino Acid, Peptide, or Protein",False,True
1980,granules,C3853573,Biomedical or Dental Material,CONTAINS,il-13,C0214743,"Amino Acid, Peptide, or Protein",False,True
1980,leukotrienes,C0023545,Organic Chemical,CAUSES,constriction,C0009813,Therapeutic or Preventive Procedure,False,True
1980,il-4,C0021758,"Amino Acid, Peptide, or Protein",CAUSES,ige antibodies,C0003241,"Amino Acid, Peptide, or Protein",False,True
1980,il-13,C0214743,"Amino Acid, Peptide, or Protein",CAUSES,ige antibodies,C0003241,"Amino Acid, Peptide, or Protein",False,True
1983,basophils,C0004827,Cell,OCCURS_IN,bone marrow,C0005953,Tissue,False,True
1984,lymphocytes,C0024264,Cell,PART_OF,immune system,C0020962,Body System,False,True
1989,t lymphocytes,C0039194,Cell,IS_A,lymphocytes,C0024264,Cell,False,True
1989,b lymphocytes,C0004561,Cell,IS_A,lymphocytes,C0024264,Cell,False,True
1989,nk cells,C0022688,Cell,IS_A,lymphocytes,C0024264,Cell,False,True
1993,t cells,C0039194,Cell,FUNCTIONALLY_RELATED_TO,cell-mediated immunity,C0020966,Organism Function,False,True
1995,nk cells,C0022688,Cell,AFFECTS,tumor cells,C0431085,Cell,False,True
1998,b cells,C0004561,Cell,EXHIBITS,immunoglobulins,C0021027,"Amino Acid, Peptide, or Protein",False,True
1998,t cells,C0039194,Cell,EXHIBITS,tcrs,C0034790,"Amino Acid, Peptide, or Protein",False,True
2002,cd8 t cells,C0242629,Cell,IS_A,primary effector cells,C3641722,Cell,False,True
2002,cd8 t cells,C0242629,Cell,EXHIBITS,lymphokines,C0024297,"Amino Acid, Peptide, or Protein",False,True
2002,cd8 t cells,C0242629,Cell,EXHIBITS,perforins,C0070410,"Amino Acid, Peptide, or Protein",False,True
2002,lymphokines,C0024297,"Amino Acid, Peptide, or Protein",PRODUCES,ion channels,C0022009,"Amino Acid, Peptide, or Protein",False,True
2004,cd8cd45ro t suppressor cells,C0039194,Cell,EXHIBITS,il-10,C0085295,"Amino Acid, Peptide, or Protein",False,True
2005,gamma/delta t cells,C0039194,Cell,EXHIBITS,tcr,C0034790,"Amino Acid, Peptide, or Protein",False,True
2008,monocytes,C0026473,Cell,CONTAINS,smooth endoplasmic reticulum,C0014239,Cell Component,False,True
2008,monocytes,C0026473,Cell,CONTAINS,rough endoplasmic reticulum,C0014239,Cell Component,False,True
2008,monocytes,C0026473,Cell,CONTAINS,mitochondria,C0026237,Cell Component,False,True
2008,granules,C3853573,Biomedical or Dental Material,CONTAINS,lysosomal enzymes,C0391845,"Amino Acid, Peptide, or Protein",False,True
2009,macrophages,C0024432,Cell,IS_A,antigen-presenting cells,C0003315,Cell,False,True
2010,blood vessel,C0005847,"Body Part, Organ, or Organ Component",LOCATION_OF,monocytes,C0026473,Cell,False,True
2010,macrophage,C0024432,Cell,LOCATION_OF,mhc ii molecules,C0019630,"Amino Acid, Peptide, or Protein",False,True
2012,channels,C0022009,"Amino Acid, Peptide, or Protein",ADJACENT_TO,extracellular space,C0015352,Body Space or Junction,False,True
2014,peripheral zone,C0227976,"Body Part, Organ, or Organ Component",CONTAINS,cell membrane,C0007603,Cell Component,False,True
2014,glycocalyx,C0061622,Cell Component,CONTAINS,glycoproteins,C0017968,"Amino Acid, Peptide, or Protein",False,True
2017,integral membrane glycoproteins,C0025248,"Amino Acid, Peptide, or Protein",PART_OF,platelet function,C1254881,Cell Function,False,True
2018,bundle,C1704398,Organ or Tissue Function,CONSISTS_OF,microtubules,C0026046,Cell Component,False,True
2019,granules,C3853573,Biomedical or Dental Material,CONTAINS,fibrinogen,C0016006,"Amino Acid, Peptide, or Protein",False,True
2019,granules,C3853573,Biomedical or Dental Material,CONTAINS,coagulation factors,C0005789,"Amino Acid, Peptide{, or Protein",False,True
2019,granules,C3853573,Biomedical or Dental Material,CONTAINS,plasminogen,C0032140,"Amino Acid, Peptide, or Protein",False,True
2019,granules,C3853573,Biomedical or Dental Material,CONTAINS,plasminogen activator inhibitor,C0032145,"Amino Acid, Peptide, or Protein",False,True
2019,granules,C3853573,Biomedical or Dental Material,CONTAINS,platelet-derived growth factor,C0032200,"Amino Acid, Peptide, or Protein",False,True
2019,granules,C3853573,Biomedical or Dental Material,CONTAINS,adenosine diphosphate,C0001459,"Nucleic Acid, Nucleoside, or Nucleotide",False,True
2019,granules,C3853573,Biomedical or Dental Material,CONTAINS,adenosine triphosphate,C0001480,"Nucleic Acid, Nucleoside, or Nucleotide",False,True
2019,granules,C3853573,Biomedical or Dental Material,CONTAINS,serotonin,C0036751,Organic Chemical,False,True
2020,membrane zone,C0025255,Tissue,CONSISTS_OF,membrane channels,C0022009,"Amino Acid, Peptide, or Protein",False,True
2022,storage site,C0323627,Eukaryote,CONTAINS,calcium ions,C0596235,Pharmacologic Substance,False,True
2024,platelet adhesion,C0032174,Cell Function,CAUSES,degranulation,C5235637,Cell Function,False,True
2024,degranulation,C5235637,Cell Function,PRODUCES,serotonin,C0036751,Organic Chemical,False,True
2025,serotonin,C0036751,Organic Chemical,CAUSES,vascular smooth muscle cells,C0026844,Tissue,False,True
2025,adenosine diphosphate,C0001459,"Nucleic Acid, Nucleoside, or Nucleotide",CAUSES,platelet aggregation,C0019116,Organ or Tissue Function,False,True
2025,thromboxane a2,C0040057,Organic Chemical,CAUSES,platelet aggregation,C0019116,Organ or Tissue Function,False,True
2025,platelets,C0005821,Cell,PREVENTS,extravasation,C0015376,Pathologic Function,False,True
2026,granules,C3853573,Biomedical or Dental Material,CONTAINS,substances coagulation factors,C0005789,"Amino Acid, Peptide, or Protein",False,True
